subject,AF_left,AF_right,ATR_left,ATR_right,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC,CG_left,CG_right,CST_left,CST_right,MLF_left,MLF_right,FPT_left,FPT_right,FX_left,FX_right,ICP_left,ICP_right,IFO_left,IFO_right,ILF_left,ILF_right,MCP,OR_left,OR_right,POPT_left,POPT_right,SCP_left,SCP_right,SLF_I_left,SLF_I_right,SLF_II_left,SLF_II_right,SLF_III_left,SLF_III_right,STR_left,STR_right,UF_left,UF_right,T_PREF_left,T_PREF_right,T_PREM_left,T_PREM_right,T_PREC_left,T_PREC_right,T_POSTC_left,T_POSTC_right,T_PAR_left,T_PAR_right,T_OCC_left,T_OCC_right,ST_FO_left,ST_FO_right,ST_PREF_left,ST_PREF_right,ST_PREM_left,ST_PREM_right,ST_PREC_left,ST_PREC_right,ST_POSTC_left,ST_POSTC_right,ST_PAR_left,ST_PAR_right,ST_OCC_left,ST_OCC_right
687163,120275,89032,20691,12806,296,7853,50205,7341,26318,46350,27670,24257,52950,69193,45568,3231,2980,55587,22489,16349,13125,320,465,4695,5219,8350,14102,9363,2589,83181,15155,5229,6582,6407,6035,5925,7372,12029,14036,23832,2107,4818,6520,6752,2173,4185,59857,49938,3415,609,16818,17318,8096,6060,42746,26540,20949,6607,3011,2876,79487,76664,2217,643,51803,37666,38657,29890,81989,86783,14805,30817
599671,95515,97062,12622,21675,375,6981,44100,9292,21326,36238,29052,22665,49802,49155,51456,4730,2191,57595,51581,9126,10903,577,31,6394,3213,10999,13475,6359,7747,61794,13056,6519,16272,16463,2913,2808,8009,17400,16621,18838,2655,12279,1597,1491,2514,8757,42944,69784,4566,3686,36540,34617,23956,16581,67353,49448,22516,12040,10580,5957,98449,75384,6119,4063,32870,22247,24949,15967,59397,47025,14559,10728
627549,75569,39585,23306,15731,1883,14367,45080,10754,20917,11754,21202,32460,45112,49183,31529,5637,6200,78806,49050,5935,4591,282,154,2962,3062,5030,9965,2021,1373,22885,4718,2000,15039,14207,4998,5736,17944,20874,5700,23636,6049,11206,849,1581,2810,7975,60545,43617,7077,6273,31960,27120,18984,15917,63431,56767,7041,4011,4803,7651,105506,87896,9495,9060,56067,48312,33433,28659,81745,83111,12951,13625
601127,78631,65540,26538,21144,1425,12125,58076,15543,45352,25253,22332,18255,56611,64017,49351,5427,4160,64061,42545,11164,8402,201,58,7741,7234,11978,22077,5311,2245,56315,9375,3458,8806,8301,7501,6361,10827,16958,21356,16369,4840,8433,223,2716,5540,7543,67010,52032,5534,3373,17892,14204,16301,8493,73292,38174,13807,5229,8446,4290,107600,104333,6824,2575,37710,32238,19389,26455,66246,63965,13868,15798
680957,54525,20498,14023,25151,571,6979,45711,7417,34704,30123,22036,19345,42271,40340,44017,16973,12607,59906,36812,19320,16333,189,134,4732,3083,12890,20379,5981,3788,33334,5233,6956,16029,15065,1596,2091,9338,17078,14351,13218,13335,14311,1524,7040,1771,1981,60405,77588,5407,5641,32791,30691,14701,11941,56361,51817,8322,10939,4951,3960,125154,134960,11031,3596,42772,27461,23955,18406,66079,54810,9526,12759
622236,115818,174904,11829,21139,9,10858,59050,11007,19994,38400,20678,12916,45492,47177,48313,3508,9664,51678,26390,10300,7238,139,61,4506,8245,11415,12872,14042,7833,89017,6492,5778,9469,15426,11446,8435,28599,27099,24099,28841,232,9844,2524,1052,6643,9724,69486,55211,6988,2479,32346,32581,21401,11188,54646,47141,12716,9895,5741,3919,74460,52369,5100,3448,36567,38689,34268,26571,77353,62280,22986,22189
679568,50534,68338,20040,19952,1491,4886,56612,9709,35106,44669,29511,12725,54267,48766,41295,12954,8026,45680,40172,9844,9665,249,113,8228,6721,9060,22947,7164,10482,62577,7210,4830,15128,9614,6435,4856,11864,18069,16441,25040,10531,7492,927,2749,1743,7003,63951,56032,13580,4533,37950,29845,26921,15361,61506,41989,10586,7815,1309,1817,67932,75611,9108,7299,28487,38972,21489,23666,52624,70232,18077,22579
673455,46868,6795,31829,20968,1338,7213,57908,6475,30620,28169,14207,15311,49058,66122,40023,5569,14567,72672,36923,15868,21411,103,178,3400,7435,18841,17615,12141,3172,44333,14421,7942,8192,11100,3164,3394,9297,19136,10561,22257,14593,6752,4662,6540,3147,3819,69554,58618,5935,6409,26409,33370,18237,17489,48389,61884,19643,9690,3555,4811,83156,76659,7216,5013,49094,39011,40376,35442,87598,80939,23638,19763
644044,91549,62540,15951,16584,844,5789,49993,5351,15641,13399,18218,21416,41024,41614,39954,14619,3906,54320,39429,21528,18442,194,16,7568,6046,9462,9604,5072,1639,76574,9198,3107,18438,8265,5865,4235,10578,12255,10518,18315,12362,15418,1032,4907,4252,8477,72523,50775,4004,3430,31719,16779,15677,4971,59950,33776,13491,4093,3460,2725,97045,74639,4149,1924,52960,37221,43908,29229,94297,65353,20007,13891
685058,8101,5677,16393,34166,189,7694,49326,8762,36883,54594,41785,25580,55592,35163,44519,7797,5879,38213,39626,18454,5390,780,406,9697,2538,3609,10123,4103,3600,37817,8274,4203,7014,8954,6020,5922,15625,14073,30112,10506,8251,2692,3094,2951,1115,6375,77702,59166,2411,5376,23331,21674,22183,9675,64682,53809,11824,6707,14030,8259,120067,72130,3357,3320,36437,44664,28838,27255,73634,77162,18577,10351
