subject,AF_left,AF_right,ATR_left,ATR_right,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC,CG_left,CG_right,CST_left,CST_right,MLF_left,MLF_right,FPT_left,FPT_right,FX_left,FX_right,ICP_left,ICP_right,IFO_left,IFO_right,ILF_left,ILF_right,MCP,OR_left,OR_right,POPT_left,POPT_right,SCP_left,SCP_right,SLF_I_left,SLF_I_right,SLF_II_left,SLF_II_right,SLF_III_left,SLF_III_right,STR_left,STR_right,UF_left,UF_right,T_PREF_left,T_PREF_right,T_PREM_left,T_PREM_right,T_PREC_left,T_PREC_right,T_POSTC_left,T_POSTC_right,T_PAR_left,T_PAR_right,T_OCC_left,T_OCC_right,ST_FO_left,ST_FO_right,ST_PREF_left,ST_PREF_right,ST_PREM_left,ST_PREM_right,ST_PREC_left,ST_PREC_right,ST_POSTC_left,ST_POSTC_right,ST_PAR_left,ST_PAR_right,ST_OCC_left,ST_OCC_right
761957,98253,90263,18080,24722,485,7914,47704,8607,24461,21008,27217,24701,51246,55744,43184,10489,6125,41327,28619,12679,12993,136,57,3648,2835,5341,25041,5248,4226,51184,7045,2984,15589,10795,5031,1786,17461,10723,10818,38244,8495,17750,2023,1522,1826,9606,66428,57519,5337,2902,24712,15636,17018,9377,57085,28668,11257,3740,5190,8320,96328,91862,5572,5084,44134,51910,29857,29600,85333,75650,23371,16458
715041,84860,57577,16062,9506,3,6944,51469,5727,19600,25167,35206,20757,54151,55895,47875,4958,3193,51039,38581,10824,6155,248,43,6938,5249,8976,13313,5104,8529,43134,10552,7993,16911,12829,4988,3542,20307,14959,24812,12147,4521,11184,3404,6703,2582,6009,63770,48017,3607,4695,33526,18751,15179,7127,55764,32345,19006,15309,2547,1658,111114,102042,5748,4048,57271,69229,28915,25703,80435,62783,25683,16709
690152,60481,47418,15109,12582,1116,9762,52385,22860,55524,24608,16286,41434,58388,50249,35312,1294,2078,49743,27760,6206,6722,576,469,3486,1559,9384,14485,8458,8132,52690,11740,5072,6922,10231,7293,5650,10152,14769,24347,24487,5368,12912,1174,2471,2158,5166,42624,45732,2420,2787,23220,19037,16464,14668,54663,45037,18848,7229,6309,6059,82714,67233,1892,1633,26141,17972,21900,18117,58505,64887,14754,19909
734045,70651,54800,10605,12400,137,12213,56451,15432,53991,39619,25044,24520,61851,61695,36922,2740,4236,48538,32695,9293,7244,535,543,5457,5448,10587,13270,3130,1700,71652,6620,2554,9712,12729,1516,2318,14734,14993,17706,26888,9222,9124,1300,1901,877,3685,40902,40897,2915,600,27097,28666,21695,18239,53416,54208,9954,3557,4940,4440,97730,78546,3947,687,52892,45396,35248,32022,83374,82816,17303,15308
759869,107031,50909,16928,19615,1088,8624,45026,7163,15723,22529,24841,8136,44998,61363,55575,4376,3810,42917,36144,18993,9674,51,68,5909,3256,17347,13966,4112,3277,57287,10994,3290,18010,15681,3503,4846,14366,19348,24589,31579,6774,5088,1517,1679,4145,9025,56880,46966,2743,2460,17154,12662,20328,9786,63271,44450,15819,6188,5569,5674,73301,54895,3297,1238,24902,15396,26289,19790,62569,50335,23037,10807
729254,57197,46958,12735,8719,852,22917,51702,11606,34168,31554,20517,76950,59258,43700,34091,5330,6180,35481,19445,11556,11178,82,17,3398,3693,1878,11476,4663,4841,69412,9664,5183,9139,10506,6543,4043,12259,27975,22341,37003,4996,6658,3003,4408,2338,6537,59499,47437,2699,3521,32448,32292,10750,9829,39090,28350,14808,7411,9346,6100,120954,100532,4195,3150,51190,46041,22529,16036,50466,41542,9017,9526
749361,40270,36518,17828,13019,883,4497,39474,5267,27153,28429,25498,8050,41385,42447,41129,5324,6392,44917,35709,11265,9802,313,248,5331,4245,15496,14173,3665,11079,88707,9012,6630,9147,12133,7307,5136,12944,9568,14759,27363,7628,18612,2658,2375,4132,7354,46358,46310,8449,3423,35099,23138,19436,9014,75804,44385,13181,9367,2132,3255,71784,63893,5559,4429,22983,23802,12884,13423,55843,53275,18488,14600
742549,105620,60986,22846,13921,115,7330,46227,10474,52720,27466,18191,10562,47587,51894,37100,4744,7893,64502,20387,11021,15334,550,311,723,1217,8835,12951,6266,2719,54362,9456,2816,11712,15647,2051,4312,15353,9501,26578,51399,3893,17492,562,1026,1431,9862,68724,49601,732,957,13110,14961,9191,8772,32443,38633,13777,4084,9073,5613,83031,77935,544,1074,46888,33596,28102,23712,66528,63371,16763,17767
748662,34985,45020,13267,33940,182,8903,55368,10646,56886,42329,37779,18199,56805,28710,31712,18752,5951,73500,54655,28870,9058,422,53,5889,2769,7832,12697,4373,3552,34911,2610,3250,16530,12462,6027,1888,18174,23635,41204,33164,9410,12650,3216,1415,6383,8751,79603,87398,2474,2153,35847,25468,12950,5653,38129,42185,3796,4627,7882,3990,139220,93049,3182,2188,57453,45993,31576,10826,79514,46215,11185,8774
753251,120747,151643,25463,17005,210,6203,58510,24135,39518,35632,42436,14775,66451,67577,52253,9404,4696,91735,53411,19133,25914,531,280,1991,3519,19217,20126,4520,7500,39311,6016,2670,21535,20259,1650,1365,21447,17996,19814,60951,11739,21796,1145,2309,984,4049,58097,50332,5338,3467,19427,10192,11778,8055,49944,30276,8890,3728,973,1646,69672,61188,2650,1860,38039,25611,30149,28107,86162,73070,30288,29180
732243,29587,24427,11718,12196,808,9794,45038,4204,65220,31802,18593,14657,47804,51057,40935,10085,8982,51503,35584,11758,12740,262,234,4749,4968,19085,14932,4393,3042,46533,9905,6510,15390,9948,7644,7581,10059,19030,29302,27904,10820,6681,2127,3184,4495,12552,70504,65497,4255,4403,30278,27248,17621,13647,40323,44252,12829,8694,3894,6392,85496,67971,4694,2878,46017,40931,25554,27250,58568,69424,21766,16885
748258,81859,66667,17690,18175,52,10377,44684,10820,24796,28631,29667,20494,49144,46914,42745,3165,2050,30388,32774,6807,6064,77,7,8567,7093,9271,8758,4397,5161,63002,6573,4436,11176,9180,3997,6824,21150,16576,5605,32383,8934,10498,1834,3308,6639,5608,50326,53828,4915,2152,25722,26666,12228,12649,40933,41866,10336,7084,6385,4305,88057,88820,4459,2392,62660,49658,29392,24859,73365,73184,22657,15021
756055,45440,45192,12984,19237,1261,7971,44279,3449,14886,18026,23776,32452,49006,59813,40044,8203,7832,44486,22900,6727,7368,312,226,6268,8620,2527,11165,5588,6442,61927,10371,7583,11448,10295,2886,3079,19894,25960,29227,40925,10629,6887,721,3601,1726,7275,53898,55901,5919,997,28649,39744,26385,18737,63279,54349,16296,12054,7534,3872,75058,57797,3777,632,30135,36282,29203,25814,80723,75159,19967,15359
751348,70545,22793,28012,24575,35,6849,44230,6848,15245,18466,19251,9859,38852,34411,38501,6548,9577,63755,35774,11785,10917,162,78,5400,3963,13505,17798,8525,887,62681,3039,3563,12556,11209,3371,4128,17838,25155,30566,52093,4017,6094,3317,7016,3255,6594,92828,70793,6229,3019,26900,18359,17736,6563,47571,32679,4750,6143,10785,5741,139437,107895,5254,2299,55995,54059,38880,27126,90758,81338,14723,19885
704238,50339,56240,27433,23868,430,7463,45952,7915,21933,26862,18958,12858,44295,44043,35932,13585,9236,50531,41686,19347,18877,341,175,8183,6338,5255,14102,7655,4935,76989,8535,4715,15571,11854,3283,2980,11535,13625,24748,39796,10359,11432,1233,6230,2264,8205,100417,74082,5524,5228,41191,32792,22831,15488,63581,47540,13481,8143,7919,8291,91838,86991,3569,3007,35440,30099,29216,22807,77951,67299,21485,17626
702133,43975,37021,22321,20729,821,12052,43545,4897,13334,27364,22376,18795,43737,54330,32666,4432,6212,54117,26464,8696,14176,134,174,3085,1954,8507,10167,6949,2197,25137,4925,3049,14734,9470,1501,1761,12245,14948,21997,29919,8452,15662,2016,4051,4874,12709,53325,59140,5706,2963,24792,20361,15027,6447,67246,30196,9833,5200,11636,5254,67120,73802,3553,2009,21897,29811,18654,15573,57219,50019,10201,12136
709551,59235,28591,12470,39942,1761,7578,56030,1182,35127,28997,24982,29848,56137,57674,49521,10116,4344,38748,40932,20136,9504,120,86,2020,3363,5690,15324,4449,6520,41501,7188,4250,8368,10492,1631,2919,15556,17426,8337,18705,5479,15911,2287,1556,1565,8475,60703,91978,6405,2600,39740,32903,20033,14259,64287,50388,9518,6120,6878,7312,91303,103287,7635,3528,39073,51085,30566,22948,85586,68382,19895,12044
695768,106516,96158,25876,14469,1242,13201,47910,4471,28886,18904,30555,23772,49569,64484,35619,4720,5516,49007,28330,9915,9852,326,946,2884,3550,4527,10155,2866,2585,61583,7438,3224,9380,11513,3316,6569,11609,16802,10144,14796,6980,25985,5216,6000,1330,6486,61883,56038,6093,2913,22479,23807,8633,11604,48848,40920,11059,3895,6884,4898,87236,93033,4535,2357,36754,37813,24921,27841,73247,70849,17543,23120
729557,84230,108003,10835,16572,154,9025,67303,10694,31674,31433,41974,45403,61718,54299,49107,11051,10659,53128,44469,10951,11592,109,275,4727,6262,11299,17178,7443,6468,65268,12908,9735,16125,24573,6321,3806,14249,20794,16933,32991,6448,17543,4544,2112,4188,3774,46271,53117,3178,2246,34298,31751,23495,18607,60179,55160,19529,14157,1960,1869,95337,101911,4331,2786,59536,61553,45462,39484,96425,83203,20289,17482
715647,31459,13420,42089,14178,759,5213,54679,4718,12395,18077,22845,28247,55742,53338,36945,5912,7297,38808,43880,11751,12218,246,187,3640,4520,6126,9291,3751,2059,55695,8629,2654,8282,6621,6218,4340,12219,11402,11360,12833,3267,7748,987,3958,1912,8042,97300,51897,7310,6797,34245,28214,13838,10572,61104,52810,11660,4202,5720,3987,95983,80756,4462,3476,29563,39326,25157,21804,56767,73729,9072,9259
705341,79778,27393,15122,44757,837,8324,54752,3201,29387,42264,28631,9065,46311,43171,42738,4870,3869,61605,47597,9446,7102,425,316,3118,5749,2309,4756,2971,8077,55168,9706,7016,6502,11754,4978,2518,12034,31273,16808,29089,8456,10061,815,2192,3160,10246,66019,84216,2519,4203,33103,27659,21172,13020,64174,53379,14452,10304,11881,10890,109044,101019,2381,3457,39203,39425,23227,32844,66533,71353,15098,9992
