subject_id,split,tract,streamline_count
sub-1073,trainset,AF_L,7267
sub-1073,trainset,AF_R,861
sub-1073,trainset,CC_Fr_1,96221
sub-1073,trainset,CC_Fr_2,177115
sub-1073,trainset,CC_Oc,81400
sub-1073,trainset,CC_Pa,75759
sub-1073,trainset,CG_L,15673
sub-1073,trainset,CG_R,3561
sub-1073,trainset,FPT_L,14313
sub-1073,trainset,FPT_R,14013
sub-1073,trainset,ILF_L,49561
sub-1073,trainset,ILF_R,49142
sub-1073,trainset,MCP,10386
sub-1073,trainset,MdLF_L,3622
sub-1073,trainset,MdLF_R,40418
sub-1073,trainset,OR_ML_L,19463
sub-1073,trainset,OR_ML_R,1614
sub-1073,trainset,POPT_L,9706
sub-1073,trainset,POPT_R,17362
sub-1073,trainset,PYT_L,54742
sub-1073,trainset,PYT_R,46426
sub-1073,trainset,SLF_L,4988
sub-1073,trainset,SLF_R,8128
sub-1073,trainset,UF_L,138
sub-1073,trainset,UF_R,253
sub-1041,trainset,AF_L,30026
sub-1041,trainset,AF_R,11113
sub-1041,trainset,CC_Fr_1,134538
sub-1041,trainset,CC_Fr_2,155376
sub-1041,trainset,CC_Oc,115966
sub-1041,trainset,CC_Pa,235098
sub-1041,trainset,CC_Pr_Po,249900
sub-1041,trainset,CG_L,16871
sub-1041,trainset,CG_R,2043
sub-1041,trainset,FAT_L,39341
sub-1041,trainset,FAT_R,18854
sub-1041,trainset,ILF_L,21763
sub-1041,trainset,ILF_R,14544
sub-1041,trainset,MCP,23553
sub-1041,trainset,OR_ML_L,19019
sub-1041,trainset,OR_ML_R,524
sub-1041,trainset,POPT_L,47555
sub-1041,trainset,POPT_R,36460
sub-1041,trainset,PYT_L,70983
sub-1041,trainset,PYT_R,64808
sub-1041,trainset,SLF_L,265
sub-1041,trainset,SLF_R,1640
sub-1041,trainset,UF_L,963
sub-1041,trainset,UF_R,2851
sub-1055,trainset,AF_L,8368
sub-1055,trainset,AF_R,29455
sub-1055,trainset,CC_Fr_1,143159
sub-1055,trainset,CC_Fr_2,189957
sub-1055,trainset,CC_Oc,71225
sub-1055,trainset,CC_Pa,99113
sub-1055,trainset,CC_Pr_Po,134978
sub-1055,trainset,CG_L,9913
sub-1055,trainset,CG_R,1885
sub-1055,trainset,FPT_L,45383
sub-1055,trainset,FPT_R,20996
sub-1055,trainset,ILF_L,52106
sub-1055,trainset,ILF_R,68951
sub-1055,trainset,MCP,38623
sub-1055,trainset,MdLF_L,22006
